html,href,title,author,journal,type,date
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-judds-dominion-london"">Judds, The: The Judds: Dominion, London</a></p>
<p>Live Review by Michele Kirsch, <i>New Musical Express</i>, 18 February 1989</p>
<p class=""excerpt"">MAMA'S FROCK is straight out of the best little top shop whorehouse in Texas. Daughter goes for a more conservative tailored black suit. Mama could ...</p>
</div>",/Library/Article/the-judds-dominion-london,"The Judds: Dominion, London",Michele Kirsch,New Musical Express,Live Review,18 February 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/guy-clark-iold-friendsi-sugar-hill-"">Guy Clark: <i>Old Friends</i> (Sugar Hill) ***½</a></p>
<p>Review by Holly Gleason, <i>Rolling Stone</i>, 9 March 1989</p>
<p class=""excerpt"">THIS IS THE first album in five years by Guy dark, one of the deans of Texas songwriting. Like his previous work, Old Friends evokes ...</p>
</div>",/Library/Article/guy-clark-iold-friendsi-sugar-hill-,Old Friends (Sugar Hill) ***½,Holly Gleason,Rolling Stone,Review,9 March 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/buck-owens-myths-of-the-honky-tonker"">Buck Owens: Myths of the honky-tonker</a></p>
<p>Profile and Interview by David Toop, <i>The Times</i>, 25 March 1989</p>
<p class=""excerpt"">On the eve of the Wembley country, festival, Buck Owens tells David Toop of the horrors of assembly-line music ...</p>
</div>",/Library/Article/buck-owens-myths-of-the-honky-tonker,Myths of the honky-tonker,David Toop,The Times,Profile and Interview,25 March 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/cowboy-junkies-royal-festival-hall-london"">Cowboy Junkies: Royal Festival Hall, London</a></p>
<p>Live Review by Adam Sweeting, <i>The Guardian</i>, 27 March 1989</p>
<p class=""excerpt"">Cowpoking explorers: one of the newest names in New Country and an all-out thrash attack ...</p>
</div>",/Library/Article/cowboy-junkies-royal-festival-hall-london,"Royal Festival Hall, London",Adam Sweeting,The Guardian,Live Review,27 March 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/lucinda-williams-mean-fiddler-london"">Lucinda Williams: Mean Fiddler, London</a></p>
<p>Live Review by Mark Cooper, <i>The Guardian</i>, 5 May 1989</p>
<p class=""excerpt"">Twang go the heart strings ...</p>
</div>",/Library/Article/lucinda-williams-mean-fiddler-london,"Mean Fiddler, London",Mark Cooper,The Guardian,Live Review,5 May 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-cash-southern-comfort"">Johnny Cash: Southern Comfort</a></p>
<p>Profile and Interview by Adam Sweeting, <i>The Guardian</i>, 12 May 1989</p>
<p class=""excerpt"">The Man in Black is back fighting the good fight. Adam Sweeting catches up with Johnny Cash, travelling troubadour, in Cambridge ...</p>
</div>",/Library/Article/johnny-cash-southern-comfort,Southern Comfort,Adam Sweeting,The Guardian,Profile and Interview,12 May 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/lucinda-williams-walking-the-line"">Lucinda Williams: Walking The Line</a></p>
<p>Profile and Interview by Sean O'Hagan, <i>New Musical Express</i>, 20 May 1989</p>
<p class=""excerpt"">LUCINDA WILLIAMS was caught just in time, the singer/songwriter was just about to head off into the hills when somehow Rough Trade pulled her back. ...</p>
</div>",/Library/Article/lucinda-williams-walking-the-line,Walking The Line,Sean O'Hagan,New Musical Express,Profile and Interview,20 May 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/dolly-parton-iwhite-limozeeni-cbs"">Dolly Parton: <i>White Limozeen</i> (CBS)</a></p>
<p>Review by Caroline Sullivan, <i>Melody Maker</i>, 29 July 1989</p>
<p class=""excerpt"">IF YOU NEED proof that we're dealing not with a mere singer, but a legend — nay, an icon — here it is: thrashy Class ...</p>
</div>",/Library/Article/dolly-parton-iwhite-limozeeni-cbs,White Limozeen (CBS),Caroline Sullivan,Melody Maker,Review,29 July 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/randy-travis-kt-oslin-universal-amphitheatre-los-angeles-ca"">Randy Travis, K.T. Oslin: Universal Amphitheatre, Los Angeles CA</a></p>
<p>Live Review by Richard Cromelin, <i>Los Angeles Times</i>, 10 August 1989</p>
<p class=""excerpt"">Travis, Oslin's Smooth and Easy Outing ...</p>
</div>",/Library/Article/randy-travis-kt-oslin-universal-amphitheatre-los-angeles-ca,"Universal Amphitheatre, Los Angeles CA",Richard Cromelin,Los Angeles Times,Live Review,10 August 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/george-jones-loretta-lynn-merriweather-post-pavilion-baltimore-ma"">George Jones, Loretta Lynn: Merriweather Post Pavilion, Baltimore MA</a></p>
<p>Live Review by Geoffrey Himes, <i>Evening Sun (Baltimore), The </i>, 14 August 1989</p>
<p class=""excerpt"">Erratic Jones is nearly perfect at Merriweather ...</p>
</div>",/Library/Article/george-jones-loretta-lynn-merriweather-post-pavilion-baltimore-ma,"Merriweather Post Pavilion, Baltimore MA",Geoffrey Himes,"Evening Sun (Baltimore), The ",Live Review,14 August 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/clint-black-ikillin-timei-mca-"">Clint Black: <i>Killin' Time</i> (MCA) ***½</a></p>
<p>Review by Holly Gleason, <i>Rolling Stone</i>, 24 August 1989</p>
<p class=""excerpt"">IN TODAY'S brave new Nashville, artists fall into neat categories: the docile crooners, like Randy Travis and George Strait, who sing pretty and pretty much ...</p>
</div>",/Library/Article/clint-black-ikillin-timei-mca-,Killin' Time (MCA) ***½,Holly Gleason,Rolling Stone,Review,24 August 1989
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-flatlanders-more-a-legend-than-a-band"">Flatlanders, The: The Flatlanders: <i>More a Legend Than a Band</i></a></p>
<p>Sleevenotes by Colin Escott, <i>Rhino Records</i>, 1990</p>
<p class=""excerpt"">AS THE FLATLANDERS DROVE TO NASHVILLE IN March 1971 to cut their lone album, Tammy Wynette was sitting atop the country charts with 'Bedtime Story'. ...</p>
</div>",/Library/Article/the-flatlanders-more-a-legend-than-a-band,The Flatlanders: More a Legend Than a Band,Colin Escott,Rhino Records,Sleevenotes,1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/butch-hancock-iown--owni-demon-lpcassettecd"">Butch Hancock: <i>Own &amp; Own</i> (Demon LP/Cassette/CD)</a></p>
<p>Review by Michele Kirsch, <i>New Musical Express</i>, 6 January 1990</p>
<p class=""excerpt"">OUT OF the Texas troubadour tradition croaks the least famous former Flatlander (early '70s cult Country band — write a letter to Fred Fact for ...</p>
</div>",/Library/Article/butch-hancock-iown--owni-demon-lpcassettecd,Own & Own (Demon LP/Cassette/CD),Michele Kirsch,New Musical Express,Review,6 January 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/kd-lang-painters-mill-music-fair-owings-mills-md"">k.d. lang: Painters Mill Music Fair, Owings Mills MD</a></p>
<p>Live Review by Geoffrey Himes, <i>Evening Sun (Baltimore), The </i>, 15 February 1990</p>
<p class=""excerpt"">Painters Mill rocks again with k.d. lang ...</p>
</div>",/Library/Article/kd-lang-painters-mill-music-fair-owings-mills-md,"Painters Mill Music Fair, Owings Mills MD",Geoffrey Himes,"Evening Sun (Baltimore), The ",Live Review,15 February 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/willie-nelson-mary-chapin-carpenter-kimmie-rhodes-katy-moffatt-wembley-arena-london"">Willie Nelson, Mary Chapin Carpenter, Katy Moffatt, Kimmie Rhodes: Willie Nelson, Mary Chapin Carpenter, Kimmie Rhodes, Katy Moffatt: Wembley Arena, London</a></p>
<p>Live Review by Adam Sweeting, <i>The Guardian</i>, 18 April 1990</p>
<p class=""excerpt"">The other Nelson jumps genres ...</p>
</div>",/Library/Article/willie-nelson-mary-chapin-carpenter-kimmie-rhodes-katy-moffatt-wembley-arena-london,"Willie Nelson, Mary Chapin Carpenter, Kimmie Rhodes, Katy Moffatt: Wembley Arena, London",Adam Sweeting,The Guardian,Live Review,18 April 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/kris-kristofferson-meets-the-cowboy-junkies-country-music-on-the-morning-after"">Cowboy Junkies, Kris Kristofferson: Kris Kristofferson Meets The Cowboy Junkies: Country Music On The Morning After</a></p>
<p>Interview by Fred Schruers, <i>Musician</i>, June 1990</p>
<p class=""excerpt"">KRIS KRISTOFFERSON occupies an unusual place among American songwriters. His songs have been covered by such legends as his inspiration Bob Dylan ('They Killed Him'), ...</p>
</div>",/Library/Article/kris-kristofferson-meets-the-cowboy-junkies-country-music-on-the-morning-after,Kris Kristofferson Meets The Cowboy Junkies: Country Music On The Morning After,Fred Schruers,Musician,Interview,June 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/travis-tritt-hillbilly-rock"">Travis Tritt: Hillbilly Rock</a></p>
<p>Interview by Holly Gleason, <i>Hits</i>, 9 July 1990</p>
<p class=""excerpt"">AN EXCLUSIVE HITS INTERVIEW WITH TRAVIS TRITT BY HOLLY GLEASON ...</p>
</div>",/Library/Article/travis-tritt-hillbilly-rock,Hillbilly Rock,Holly Gleason,Hits,Interview,9 July 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/steve-earle--the-dukes-town-and-country-club-london"">Steve Earle &amp; The Dukes: Town And Country Club, London</a></p>
<p>Live Review by Paul Elliott, <i>Sounds</i>, 22 September 1990</p>
<p class=""excerpt"">Nice n' easy rider ...</p>
</div>",/Library/Article/steve-earle--the-dukes-town-and-country-club-london,"Town And Country Club, London",Paul Elliott,Sounds,Live Review,22 September 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/steve-earle-town-and-country-club-london-"">Steve Earle: Town And Country Club, London ****</a></p>
<p>Live Review by Howard Johnson, <i>Kerrang!</i>, 29 September 1990</p>
<p class=""excerpt"">Duke of Earle ...</p>
</div>",/Library/Article/steve-earle-town-and-country-club-london-,"Town And Country Club, London ****",Howard Johnson,Kerrang!,Live Review,29 September 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/steve-earle-does-it-the-hard-way"">Steve Earle Does It the Hard Way</a></p>
<p>Interview by Mark Rowland, <i>Musician</i>, October 1990</p>
<p class=""excerpt"">DRIVING WEST out of Nashville on a summer afternoon the hills look green and lazy, a deceptively pastoral view. ""This is a poor county,"" Steve ...</p>
</div>",/Library/Article/steve-earle-does-it-the-hard-way,Steve Earle Does It the Hard Way,Mark Rowland,Musician,Interview,October 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/randy-travis-iheroes--friendsi-warner-bros-75992631"">Randy Travis: <i>Heroes &amp; Friends</i> (Warner Bros 75992631)</a></p>
<p>Review by Mat Snow, <i>Q</i>, November 1990</p>
<p class=""excerpt"">IT'S A MEASURE of how far country golden boy Randy Travis has come in only five years that he can attract such a stellar cast ...</p>
</div>",/Library/Article/randy-travis-iheroes--friendsi-warner-bros-75992631,Heroes & Friends (Warner Bros 75992631),Mat Snow,Q,Review,November 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-judds-ilove-can-build-a-bridgei-bmg-90531"">Judds, The: The Judds: <i>Love Can Build A Bridge</i> (BMG 90531)</a></p>
<p>Review by Phil Sutcliffe, <i>Q</i>, November 1990</p>
<p class=""excerpt"">AFTER SEVEN years of drawing their ""new country"" congregation to an ever broader church, songwriting mom Naomi and lead-singing daughter Wynonna this time nod to ...</p>
</div>",/Library/Article/the-judds-ilove-can-build-a-bridgei-bmg-90531,The Judds: Love Can Build A Bridge (BMG 90531),Phil Sutcliffe,Q,Review,November 1990
"<div class=""article-listing"">
<p><a href=""/Library/Article/rosanne-cash-iinteriorsi-columbia"">Rosanne Cash: <i>Interiors</i> (Columbia)</a></p>
<p>Review by Amy Linden, <i>Spin</i>, January 1991</p>
<p class=""excerpt"">ROSANNE CASH wasn't kidding when she called this one Interiors. With the exception of 'This World' (which is about child abuse, among other things, and ...</p>
</div>",/Library/Article/rosanne-cash-iinteriorsi-columbia,Interiors (Columbia),Amy Linden,Spin,Review,January 1991
"<div class=""article-listing"">
<p><a href=""/Library/Article/joe-ely-ely-rider"">Joe Ely: Ely Rider</a></p>
<p>Interview by Gavin Martin, <i>Vox</i>, February 1991</p>
<p class=""excerpt"">Joe Ely hocked all he owned to get his latest album released, making him the loan star of the Lone Star state. Gavin Martin meets ...</p>
</div>",/Library/Article/joe-ely-ely-rider,Ely Rider,Gavin Martin,Vox,Interview,February 1991
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-cash-pillsnthrills-and-bellyaches"">Johnny Cash: Pills'n'Thrills And Bellyaches</a></p>
<p>Profile and Interview by Mark Cooper, <i>Q</i>, June 1991</p>
<p class=""excerpt"">HITCHING UP HIS blue jeans to give his hands something to do, country music's Greatest Living Legend smothers a cough before the familiar voice offers ...</p>
</div>",/Library/Article/johnny-cash-pillsnthrills-and-bellyaches,Pills'n'Thrills And Bellyaches,Mark Cooper,Q,Profile and Interview,June 1991
"<div class=""article-listing"">
<p><a href=""/Library/Article/kentucky-headhunters-hard-rock-hoedown"">Kentucky Headhunters: Hard-Rock Hoedown</a></p>
<p>Profile and Interview by John Swenson, <i>Rolling Stone</i>, 19 September 1991</p>
<p class=""excerpt"">The Kentucky Headhunters serve up their own style of Southern fare. ...</p>
</div>",/Library/Article/kentucky-headhunters-hard-rock-hoedown,Hard-Rock Hoedown,John Swenson,Rolling Stone,Profile and Interview,19 September 1991
"<div class=""article-listing"">
<p><a href=""/Library/Article/garth-brooks-iropin-the-windi-capitol-cdestu-2162"">Garth Brooks: <i>Ropin' the Wind</i> (Capitol CDESTU 2162)</a></p>
<p>Review by David Sinclair, <i>The Times</i>, 5 February 1992</p>
<p class=""excerpt"">All blown down ...</p>
</div>",/Library/Article/garth-brooks-iropin-the-windi-capitol-cdestu-2162,Ropin' the Wind (Capitol CDESTU 2162),David Sinclair,The Times,Review,5 February 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/kd-lang-iingnuei-wea-26840"">k.d. lang: <i>Ingénue</i> (WEA 26840)</a></p>
<p>Review by Max Bell, <i>Vox</i>, April 1992</p>
<p class=""excerpt"">POPULAR OPINION has had it that, on her latest album Ingénue, k.d. lang has skirted the Country style as if it were an unpleasant cesspit ...</p>
</div>",/Library/Article/kd-lang-iingnuei-wea-26840,Ingénue (WEA 26840),Max Bell,Vox,Review,April 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/countrys-new-gold-rush"">Garth Brooks: Country's New Gold Rush</a></p>
<p>Report and Interview by Rob Tannenbaum, <i>Rolling Stone</i>, 16 April 1992</p>
<p class=""excerpt"">With Garth Brooks leading the way, Nashville is booming ...</p>
</div>",/Library/Article/countrys-new-gold-rush,Country's New Gold Rush,Rob Tannenbaum,Rolling Stone,Report and Interview,16 April 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/building-better-bridges-charlie-rich-in-jazz-country"">Charlie Rich: Building Better Bridges: Charlie Rich in jazz country</a></p>
<p>Interview by Alan di Perna, <i>Musician</i>, May 1992</p>
<p class=""excerpt"">""NOW YOU play the bridge for me."" ...</p>
</div>",/Library/Article/building-better-bridges-charlie-rich-in-jazz-country,Building Better Bridges: Charlie Rich in jazz country,Alan di Perna,Musician,Interview,May 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/lyle-lovett-roxy-los-angeles-ca"">Lyle Lovett: Roxy, Los Angeles CA</a></p>
<p>Live Review by Richard Cromelin, <i>Los Angeles Times</i>, 14 May 1992</p>
<p class=""excerpt"">Lovett and Band Stretch Beyond Country's Borders ...</p>
</div>",/Library/Article/lyle-lovett-roxy-los-angeles-ca,"Roxy, Los Angeles CA",Richard Cromelin,Los Angeles Times,Live Review,14 May 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/modern-lovers-the-rockingbirds"">Rockingbirds, The: Modern Lovers: The Rockingbirds</a></p>
<p>Profile and Interview by  Push, <i>Melody Maker</i>, 30 May 1992</p>
<p class=""excerpt"">""EVERY GROUP SHOULD be like a cartoon,"" says Alan Tyler, former philosophy student, tap dancer and bookies runner, now lead singer with the Rockingbirds. ""If ...</p>
</div>",/Library/Article/modern-lovers-the-rockingbirds,Modern Lovers: The Rockingbirds, Push,Melody Maker,Profile and Interview,30 May 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/lyle-lovett--his-large-band-hammersmith-odeon-london"">Lyle Lovett &amp; his Large Band: Hammersmith Odeon, London</a></p>
<p>Live Review by David Sinclair, <i>The Times</i>, 16 June 1992</p>
<p class=""excerpt"">Journey into odd country ...</p>
</div>",/Library/Article/lyle-lovett--his-large-band-hammersmith-odeon-london,"Hammersmith Odeon, London",David Sinclair,The Times,Live Review,16 June 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/billy-ray-cyrus-the-man-who-would-be-king-of-country"">Billy Ray Cyrus: The Man Who Would Be King of Country</a></p>
<p>Profile and Interview by Rob Tannenbaum, <i>Rolling Stone</i>, 6 August 1992</p>
<p class=""excerpt"">Billy Ray Cyrus scored with Some Gave All  ...</p>
</div>",/Library/Article/billy-ray-cyrus-the-man-who-would-be-king-of-country,The Man Who Would Be King of Country,Rob Tannenbaum,Rolling Stone,Profile and Interview,6 August 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/jerry-donahue-taking-tele-round-the-bend"">Jerry Donahue: Taking Tele 'Round The Bend</a></p>
<p>Interview by Alan di Perna, <i>Musician</i>, September 1992</p>
<p class=""excerpt"">THE BRASS NUTS OF A COUNTRY FIREBALL ...</p>
</div>",/Library/Article/jerry-donahue-taking-tele-round-the-bend,Taking Tele 'Round The Bend,Alan di Perna,Musician,Interview,September 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/clint-black-gone-hollywood-i-dont-worry-about-it"">Clint Black: Gone Hollywood? ""I Don't Worry About It""</a></p>
<p>Interview by Richard Cromelin, <i>Los Angeles Times</i>, 17 September 1992</p>
<p class=""excerpt"">CLINT BLACK looked like the country star of the '90s when his debut album, Killin' Time, was released in 1989, spawning five No. I country ...</p>
</div>",/Library/Article/clint-black-gone-hollywood-i-dont-worry-about-it,"Gone Hollywood? ""I Don't Worry About It""",Richard Cromelin,Los Angeles Times,Interview,17 September 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/trisha-yearwood-crazy-horse-santa-ana-ca"">Trisha Yearwood: Crazy Horse, Santa Ana CA</a></p>
<p>Live Review by Richard Cromelin, <i>Los Angeles Times</i>, 14 October 1992</p>
<p class=""excerpt"">Trisha Yearwood Blossoms Under the Spotlight's Glare ...</p>
</div>",/Library/Article/trisha-yearwood-crazy-horse-santa-ana-ca,"Crazy Horse, Santa Ana CA",Richard Cromelin,Los Angeles Times,Live Review,14 October 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/lyle-lovett-and-his-large-band-the-orpheum-theater-boston-ma"">Lyle Lovett and his Large Band: The Orpheum Theater, Boston MA</a></p>
<p>Live Review by Jim Sullivan, <i>The Boston Globe</i>, 19 October 1992</p>
<p class=""excerpt"">Lovett serves up a sassy mix of country, blues and rock ...</p>
</div>",/Library/Article/lyle-lovett-and-his-large-band-the-orpheum-theater-boston-ma,"The Orpheum Theater, Boston MA",Jim Sullivan,The Boston Globe,Live Review,19 October 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/reba-mcentire-inglewood-forum-inglewood-ca"">Reba McEntire: Inglewood Forum, Inglewood CA</a></p>
<p>Live Review by Richard Cromelin, <i>Los Angeles Times</i>, 7 December 1992</p>
<p class=""excerpt"">A Confusing Set From Reba McEntire at Forum ...</p>
</div>",/Library/Article/reba-mcentire-inglewood-forum-inglewood-ca,"Inglewood Forum, Inglewood CA",Richard Cromelin,Los Angeles Times,Live Review,7 December 1992
"<div class=""article-listing"">
<p><a href=""/Library/Article/bobby-bare-idetroit-city-and-other-hitsii500-miles-away-from-homei-rca"">Bobby Bare: <i>Detroit City and Other Hits</i>/<i>500 Miles Away from Home</i> (RCA)</a></p>
<p>Sleevenotes by Colin Escott, <i>RCA Records</i>, 1993</p>
<p class=""excerpt"">THE FIRST THE WORLD thought it had heard from Bobby Bare was in the summer of 1963 when 'Detroit City' hit the Top 20 in ...</p>
</div>",/Library/Article/bobby-bare-idetroit-city-and-other-hitsii500-miles-away-from-homei-rca,Detroit City and Other Hits/500 Miles Away from Home (RCA),Colin Escott,RCA Records,Sleevenotes,1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/kd-lang-kd-sings-the-blues"">k.d. lang: k.d. Sings The Blues</a></p>
<p>Profile and Interview by Mat Snow, <i>Q</i>, April 1993</p>
<p class=""excerpt"">She’s a genre-hopping pantheist, Lesbian, vegetarian, big-mouthed aromatherapist. In big boots. Yet despite unpromising ingredients, k.d. lang’s multi-layered cake continues to rise quite beautifully and ...</p>
</div>",/Library/Article/kd-lang-kd-sings-the-blues,k.d. Sings The Blues,Mat Snow,Q,Profile and Interview,April 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/garth-brooks-ropin-the-wind"">Garth Brooks: Ropin' The Wind</a></p>
<p>Interview by Anthony DeCurtis, <i>Rolling Stone</i>, 1 April 1993</p>
<p class=""excerpt"">GARTH BROOKS is a regular at the Pancake Pantry on Twenty-first Avenue in Nashville. When he arrives for breakfast, the proprietor greets him at the ...</p>
</div>",/Library/Article/garth-brooks-ropin-the-wind,Ropin' The Wind,Anthony DeCurtis,Rolling Stone,Interview,1 April 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/dwight-yoakam-ithis-timei-reprise"">Dwight Yoakam: <i>This Time</i> (Reprise)</a></p>
<p>Review by Richard C. Walls, <i>Musician</i>, June 1993</p>
<p class=""excerpt"">DWIGHT YOAKAM made his mark as a new traditionalist country singer — vocally a natural, with the stoic throb and nasal soulfulness to give life ...</p>
</div>",/Library/Article/dwight-yoakam-ithis-timei-reprise,This Time (Reprise),Richard C. Walls,Musician,Review,June 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/willie-nelson-cheer-up-it-might-never-happen"">Willie Nelson: Cheer Up, It Might Never Happen</a></p>
<p>Interview by Mark Cooper, <i>Q</i>, July 1993</p>
<p class=""excerpt"">…Er, unfortunately it already has. Three failed marriages, a son's suicide, his house burning down — and that's before the small matter of a $16.7 ...</p>
</div>",/Library/Article/willie-nelson-cheer-up-it-might-never-happen,"Cheer Up, It Might Never Happen",Mark Cooper,Q,Interview,July 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/billy-ray-cyrus-iit-wont-be-the-lasti-polygram"">Billy Ray Cyrus: <i>It Won't Be the Last</i> (PolyGram)</a></p>
<p>Review by John Swenson, <i>Rolling Stone</i>, 16 September 1993</p>
<p class=""excerpt"">IT SHOULD come as no surprise that the new Elvis arrives sans pompadour or leisure suit. Billy Ray Cyrus is an Elvis for the '90s, ...</p>
</div>",/Library/Article/billy-ray-cyrus-iit-wont-be-the-lasti-polygram,It Won't Be the Last (PolyGram),John Swenson,Rolling Stone,Review,16 September 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/junior-brown-outta-nowhere"">Junior Brown: Outta Nowhere</a></p>
<p>Profile and Interview by John Morthland, <i>LA Weekly</i>, 16 September 1993</p>
<p class=""excerpt"">But Junior Brown can make a guit-steel sing ...</p>
</div>",/Library/Article/junior-brown-outta-nowhere,Outta Nowhere,John Morthland,LA Weekly,Profile and Interview,16 September 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/garth-brooks-iin-piecesi-liberty-80857-cd-and-cassette"">Garth Brooks: <i>In Pieces</i> (Liberty 80857; CD and cassette)</a></p>
<p>Review by Holly Gleason, <i>The New York Times</i>, 26 September 1993</p>
<p class=""excerpt"">A Megastar for Everyman ...</p>
</div>",/Library/Article/garth-brooks-iin-piecesi-liberty-80857-cd-and-cassette,In Pieces (Liberty 80857; CD and cassette),Holly Gleason,The New York Times,Review,26 September 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/billy-joe-shaver-itramp-on-your-streeti-zoopraxis-72445-11063-cd-and-cassette"">Billy Joe Shaver: <i>Tramp on Your Street</i> (Zoo/Praxis 72445-11063; CD and cassette)</a></p>
<p>Review by Holly Gleason, <i>The New York Times</i>, 3 October 1993</p>
<p class=""excerpt"">AT A TIME when country music has been reduced to an arena-ready formula, Billy Joe Shaver is a blotch on the horizon. Unapologetically raw, the ...</p>
</div>",/Library/Article/billy-joe-shaver-itramp-on-your-streeti-zoopraxis-72445-11063-cd-and-cassette,Tramp on Your Street (Zoo/Praxis 72445-11063; CD and cassette),Holly Gleason,The New York Times,Review,3 October 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/sister-sledge-forum-london-tammy-wynette-palladium-london"">Sister Sledge, Tammy Wynette: Sister Sledge: Forum, London; Tammy Wynette: Palladium, London</a></p>
<p>Live Review by Caroline Sullivan, <i>The Guardian</i>, 30 November 1993</p>
<p class=""excerpt"">Standby your sisters: Revived seventies disco queens Sister Sledge and the First Lady of country music Tammy Wynette woo London ...</p>
</div>",/Library/Article/sister-sledge-forum-london-tammy-wynette-palladium-london,"Sister Sledge: Forum, London; Tammy Wynette: Palladium, London",Caroline Sullivan,The Guardian,Live Review,30 November 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/kd-lang-ieven-cowgirls-get-the-bluesi-wea-9362-454-332"">k.d. lang: <i>Even Cowgirls Get The Blues</i> (WEA 9362 454 332)</a></p>
<p>Review by Sid Griffin, <i>Q</i>, December 1993</p>
<p class=""excerpt"">k.d. lang: defining the word sublime. ...</p>
</div>",/Library/Article/kd-lang-ieven-cowgirls-get-the-bluesi-wea-9362-454-332,Even Cowgirls Get The Blues (WEA 9362 454 332),Sid Griffin,Q,Review,December 1993
"<div class=""article-listing"">
<p><a href=""/Library/Article/garth-brooks"">Garth Brooks</a></p>
<p>Profile and Interview by Robin Eggar, <i>Sunday Times</i>, 23 January 1994</p>
<p class=""excerpt"">""SHHH."" THE admonition echoes around the room, stalling conversation in mid-drawl, beer in mid-swallow. The ensuing hush is equal parts reverence and show-me. ...</p>
</div>",/Library/Article/garth-brooks,Garth Brooks,Robin Eggar,Sunday Times,Profile and Interview,23 January 1994
"<div class=""article-listing"">
<p><a href=""/Library/Article/jimmie-dale-gilmore-space-cowboy"">Jimmie Dale Gilmore: Space Cowboy</a></p>
<p>Profile and Interview by Pat Blashill, <i>Details</i>, February 1994</p>
<p class=""excerpt"">From Texas to the ashram and back again: the earthbound adventures of country rocker Jimmie Dale Gilmore ...</p>
</div>",/Library/Article/jimmie-dale-gilmore-space-cowboy,Space Cowboy,Pat Blashill,Details,Profile and Interview,February 1994
"<div class=""article-listing"">
<p><a href=""/Library/Article/alison-krauss-once-a-fiddlin-teen-shes-now-in-demand"">Alison Krauss: Once a ""Fiddlin' Teen"", She's Now in Demand</a></p>
<p>Profile and Interview by Tony Scherman, <i>The New York Times</i>, 24 April 1994</p>
<p class=""excerpt"">ALISON KRAUSS'S eyes bulged at the old newspaper clipping, an arrow from the past headlined, ""Fiddlin' Teen Burns Up the Competition."" Sitting upstairs in her ...</p>
</div>",/Library/Article/alison-krauss-once-a-fiddlin-teen-shes-now-in-demand,"Once a ""Fiddlin' Teen"", She's Now in Demand",Tony Scherman,The New York Times,Profile and Interview,24 April 1994
"<div class=""article-listing"">
<p><a href=""/Library/Article/townes-van-zandt-union-chapel-london"">Townes Van Zandt: Union Chapel, London</a></p>
<p>Live Review by Paul Sexton, <i>The Times</i>, 26 April 1994</p>
<p class=""excerpt"">Return of a rambler ...</p>
</div>",/Library/Article/townes-van-zandt-union-chapel-london,"Union Chapel, London",Paul Sexton,The Times,Live Review,26 April 1994
